,model,mse,ndcg,simid
96,sg_wmf_obs,1.6548949210172936,0.7405082870037493,19.0
97,-1,-1.0,-1.0,19.0
98,sg_wmf_cau_user_add,1.5861502628112618,0.7562678814217958,19.0
99,sg_wmf_cau_const_add,1.5251229545999354,0.7698904004230763,19.0
100,sg_pmf_obs,1.5498730007237569,0.7492108350000432,19.0
101,-1,-1.0,-1.0,19.0
102,sg_pmf_cau_user_add,1.4931166724058975,0.7612053033537104,19.0
103,sg_pmf_cau_const_add,1.4764164113611171,0.7628459119700914,19.0
104,sg_pf_obs,3.676772907483792,0.6578357929524509,19.0
105,sg_pf_cau_ips,3.6484021934591833,0.6580040088559711,19.0
106,sg_pf_cau_user_add,2.020215509947114,0.6911804217020889,19.0
107,sg_pf_cau_const_add,2.0204600593095474,0.6774561608512749,19.0
108,sg_wmf_obs,1.7229033359449564,0.7711285874837804,20.0
109,-1,-1.0,-1.0,20.0
110,sg_wmf_cau_user_add,1.6622907135876874,0.7822474805975463,20.0
111,sg_wmf_cau_const_add,1.614681412670742,0.7961179812193273,20.0
112,sg_pmf_obs,1.5818244378499486,0.7703012899882055,20.0
113,-1,-1.0,-1.0,20.0
114,sg_pmf_cau_user_add,1.5386989794083907,0.7788774011523231,20.0
115,sg_pmf_cau_const_add,1.4940693897152306,0.7980723495465003,20.0
116,sg_pf_obs,261.86018920271783,0.6722040949279182,20.0
117,sg_pf_cau_ips,264.5204863466333,0.6756849495591009,20.0
118,sg_pf_cau_user_add,2.066720059001057,0.7126067536696497,20.0
119,sg_pf_cau_const_add,2.1632203609364606,0.6968474442322521,20.0
120,sg_wmf_obs,1.646084013621702,0.7449820248244989,21.0
121,-1,-1.0,-1.0,21.0
122,sg_wmf_cau_user_add,1.5861641089726513,0.7560967664873283,21.0
123,sg_wmf_cau_const_add,1.514691459026815,0.7778315894310341,21.0
124,sg_pmf_obs,1.5133018184169484,0.7546918104835466,21.0
125,-1,-1.0,-1.0,21.0
126,sg_pmf_cau_user_add,1.4857493502453631,0.7646309841640037,21.0
127,sg_pmf_cau_const_add,1.4490031913022807,0.7684629532476037,21.0
128,sg_pf_obs,266.996669890185,0.6579557116960899,21.0
129,sg_pf_cau_ips,2.3526283596901125,0.6593469995628537,21.0
130,sg_pf_cau_user_add,1.8945730408064407,0.7027955896877711,21.0
131,sg_pf_cau_const_add,1.9791596698051641,0.679211935273848,21.0
